料理名,卵,乳,小麦,そば,ピーナッツ,えび,かに,あわび,大豆,ごま,肉,くるみ
apple_pie,1,1,1,0,0,0,0,0,0,0,0,0
baby_back_ribs,0,0,0,0,0,0,0,0,0,0,1,0
baklava,1,1,1,0,0,0,0,0,0,0,0,1
beef_carpaccio,0,0,1,0,0,0,0,0,0,0,1,0
beef_tartare,1,0,0,0,0,0,0,0,0,0,1,0
beet_salad,0,0,0,0,0,0,0,0,0,0,0,0
beignets,1,1,1,0,0,0,0,0,0,0,0,0
bibimbap,1,0,0,0,0,0,0,0,0,1,1,0
bread_pudding,1,1,1,0,0,0,0,0,0,0,0,0
breakfast_burrito,1,1,1,0,0,0,0,0,1,0,0,0
bruschetta,1,1,1,0,0,0,0,0,0,0,1,0
caesar_salad,1,1,0,0,0,0,0,0,0,0,0,0
cannoli,1,1,1,0,0,0,0,0,0,0,0,0
caprese_salad,0,1,0,0,0,0,0,0,0,0,0,0
carrot_cake,1,1,1,0,1,0,0,0,0,0,0,1
ceviche,0,0,0,0,0,1,1,1,1,0,0,0
cheesecake,1,1,1,0,0,0,0,0,0,0,0,0
cheese_plate,1,1,1,0,0,0,0,0,0,0,0,0
chicken_curry,0,1,1,0,0,0,0,0,0,0,1,0
chicken_quesadilla,1,1,1,0,0,0,0,0,0,0,1,0
chicken_wings,0,1,0,0,0,0,0,0,1,0,1,0
chocolate_cake,1,1,1,0,1,0,0,0,0,0,0,1
chocolate_mousse,0,1,1,0,0,0,0,0,0,0,0,1
churros,1,1,1,0,0,0,0,0,0,0,0,0
clam_chowder,0,1,0,0,0,1,1,0,1,0,0,0
club_sandwich,1,1,1,0,0,1,1,0,0,0,1,0
crab_cakes,1,1,1,0,0,0,0,0,0,0,0,0
creme_brulee,1,1,0,0,0,0,0,0,0,0,0,0
croque_madame,1,1,1,0,0,0,0,0,0,0,0,0
cup_cakes,1,1,1,0,1,0,0,0,0,0,0,1
deviled_eggs,1,0,0,0,0,0,0,0,0,0,0,0
donuts,1,1,1,0,1,0,0,0,0,0,0,1
dumplings,1,1,1,0,0,1,1,0,0,0,1,0
edamame,0,0,0,0,0,0,0,0,1,0,0,0
eggs_benedict,1,1,1,0,0,1,1,0,0,0,1,0
escargots,0,0,0,0,0,0,0,0,0,0,0,0
falafel,0,0,0,0,0,0,0,0,1,1,0,0
